Index,Competition,URL
94,Novozymes Enzyme Stability Prediction,https://compsearch.dev/search?url=novozymes-enzyme-stability-prediction
95,G2Net Detecting Continuous Gravitational Waves,https://compsearch.dev/search?url=g2net-detecting-continuous-gravitational-waves
96,DFL - Bundesliga Data Shootout,https://compsearch.dev/search?url=dfl-bundesliga-data-shootout
97,Feedback Prize - English Language Learning,https://compsearch.dev/search?url=feedback-prize-english-language-learning
98,Open Problems - Multimodal Single-Cell Integration,https://compsearch.dev/search?url=open-problems-multimodal
99,Google AI4Code – Understand Code in Python Notebooks,https://compsearch.dev/search?url=AI4Code
100,RSNA 2022 Cervical Spine Fracture Detection,https://compsearch.dev/search?url=rsna-2022-cervical-spine-fracture-detection
101,Google Universal Image Embedding,https://compsearch.dev/search?url=google-universal-image-embedding
102,JPX Tokyo Stock Exchange Prediction,https://compsearch.dev/search?url=jpx-tokyo-stock-exchange-prediction
103,Mayo Clinic - STRIP AI,https://compsearch.dev/search?url=mayo-clinic-strip-ai
104,HuBMAP + HPA - Hacking the Human Body,https://compsearch.dev/search?url=hubmap-organ-segmentation
105,American Express - Default Prediction,https://compsearch.dev/search?url=amex-default-prediction
106,Feedback Prize - Predicting Effective Arguments,https://compsearch.dev/search?url=feedback-prize-effectiveness
107,Google Smartphone Decimeter Challenge 2022,https://compsearch.dev/search?url=smartphone-decimeter-2022
108,Kore 2022,https://compsearch.dev/search?url=kore-2022
109,Ubiquant Market Prediction,https://compsearch.dev/search?url=ubiquant-market-prediction
110,UW-Madison GI Tract Image Segmentation,https://compsearch.dev/search?url=uw-madison-gi-tract-image-segmentation
111,Foursquare - Location Matching,https://compsearch.dev/search?url=foursquare-location-matching
112,U.S. Patent Phrase to Phrase Matching,https://compsearch.dev/search?url=us-patent-phrase-to-phrase-matching
113,Image Matching Challenge 2022,https://compsearch.dev/search?url=image-matching-challenge-2022
114,BirdCLEF 2022,https://compsearch.dev/search?url=birdclef-2022
115,H&M Personalized Fashion Recommendations,https://compsearch.dev/search?url=h-and-m-personalized-fashion-recommendations
116,G-Research Crypto Forecasting,https://compsearch.dev/search?url=g-research-crypto-forecasting
117,NBME - Score Clinical Patient Notes,https://compsearch.dev/search?url=nbme-score-clinical-patient-notes
118,Happywhale - Whale and Dolphin Identification,https://compsearch.dev/search?url=happy-whale-and-dolphin
119,March Machine Learning Mania 2022 - Men’s,https://compsearch.dev/search?url=mens-march-mania-2022
120,March Machine Learning Mania 2022 - Women's,https://compsearch.dev/search?url=womens-march-mania-2022
121,Feedback Prize - Evaluating Student Writing,https://compsearch.dev/search?url=feedback-prize-2021
122,TensorFlow - Help Protect the Great Barrier Reef,https://compsearch.dev/search?url=tensorflow-great-barrier-reef
123,Jigsaw Rate Severity of Toxic Comments,https://compsearch.dev/search?url=jigsaw-toxic-severity-rating
124,PetFinder.my - Pawpularity Contest,https://compsearch.dev/search?url=petfinder-pawpularity-score
125,Santa 2021 - The Merry Movie Montage,https://compsearch.dev/search?url=santa-2021
126,Optiver Realized Volatility Prediction,https://compsearch.dev/search?url=optiver-realized-volatility-prediction
127,Sartorius - Cell Instance Segmentation,https://compsearch.dev/search?url=sartorius-cell-instance-segmentation
128,Lux AI,https://compsearch.dev/search?url=lux-ai-2021
129,chaii - Hindi and Tamil Question Answering,https://compsearch.dev/search?url=chaii-hindi-and-tamil-question-answering
130,Google Brain - Ventilator Pressure Prediction,https://compsearch.dev/search?url=ventilator-pressure-prediction
131,NFL Health & Safety - Helmet Assignment,https://compsearch.dev/search?url=nfl-health-and-safety-helmet-assignment
132,RSNA-MICCAI Brain Tumor Radiogenomic Classification,https://compsearch.dev/search?url=rsna-miccai-brain-tumor-radiogenomic-classification
133,Google Landmark Retrieval 2021,https://compsearch.dev/search?url=landmark-retrieval-2021
134,Google Landmark Recognition 2021,https://compsearch.dev/search?url=landmark-recognition-2021
135,G2Net Gravitational Wave Detection,https://compsearch.dev/search?url=g2net-gravitational-wave-detection
136,MLB Player Digital Engagement Forecasting,https://compsearch.dev/search?url=mlb-player-digital-engagement-forecasting
137,Jane Street Market Prediction,https://compsearch.dev/search?url=jane-street-market-prediction
138,SETI Breakthrough Listen - E.T. Signal Search,https://compsearch.dev/search?url=seti-breakthrough-listen
139,SIIM-FISABIO-RSNA COVID-19 Detection,https://compsearch.dev/search?url=siim-covid19-detection
140,Google Smartphone Decimeter Challenge,https://compsearch.dev/search?url=google-smartphone-decimeter-challenge
141,CommonLit Readability Prize,https://compsearch.dev/search?url=commonlitreadabilityprize
142,Coleridge Initiative - Show US the Data,https://compsearch.dev/search?url=coleridgeinitiative-show-us-the-data
143,Bristol-Myers Squibb – Molecular Translation,https://compsearch.dev/search?url=bms-molecular-translation
144,BirdCLEF 2021 - Birdcall Identification,https://compsearch.dev/search?url=birdclef-2021
145,Indoor Location & Navigation,https://compsearch.dev/search?url=indoor-location-navigation
146,Human Protein Atlas - Single Cell Classification,https://compsearch.dev/search?url=hpa-single-cell-image-classification
147,Shopee - Price Match Guarantee,https://compsearch.dev/search?url=shopee-product-matching
148,HuBMAP - Hacking the Kidney,https://compsearch.dev/search?url=hubmap-kidney-segmentation
149,VinBigData Chest X-ray Abnormalities Detection,https://compsearch.dev/search?url=vinbigdata-chest-xray-abnormalities-detection
150,RANZCR CLiP - Catheter and Line Position Challenge,https://compsearch.dev/search?url=ranzcr-clip-catheter-line-classification
151,Santa 2020 - The Candy Cane Contest,https://compsearch.dev/search?url=santa-2020
152,Cassava Leaf Disease Classification,https://compsearch.dev/search?url=cassava-leaf-disease-classification
153,Rainforest Connection Species Audio Detection,https://compsearch.dev/search?url=rfcx-species-audio-detection
154,Riiid Answer Correctness Prediction,https://compsearch.dev/search?url=riiid-test-answer-prediction
155,NFL 1st and Future - Impact Detection,https://compsearch.dev/search?url=nfl-impact-detection
156,Google Research Football with Manchester City F.C.,https://compsearch.dev/search?url=google-football
157,Mechanisms of Action (MoA) Prediction,https://compsearch.dev/search?url=lish-moa
158,Lyft Motion Prediction for Autonomous Vehicles,https://compsearch.dev/search?url=lyft-motion-prediction-autonomous-vehicles
159,RSNA STR Pulmonary Embolism Detection,https://compsearch.dev/search?url=rsna-str-pulmonary-embolism-detection
160,OSIC Pulmonary Fibrosis Progression,https://compsearch.dev/search?url=osic-pulmonary-fibrosis-progression
161,OpenVaccine: COVID-19 mRNA Vaccine Degradation Prediction,https://compsearch.dev/search?url=stanford-covid-vaccine
162,Google Landmark Recognition 2020,https://compsearch.dev/search?url=landmark-recognition-2020
163,Halite by Two Sigma,https://compsearch.dev/search?url=halite
164,Cornell Birdcall Identification,https://compsearch.dev/search?url=birdsong-recognition
165,Global Wheat Detection,https://compsearch.dev/search?url=global-wheat-detection
166,SIIM-ISIC Melanoma Classification,https://compsearch.dev/search?url=siim-isic-melanoma-classification
167,Google Landmark Retrieval 2020,https://compsearch.dev/search?url=landmark-retrieval-2020
168,Prostate cANcer graDe Assessment (PANDA) Challenge,https://compsearch.dev/search?url=prostate-cancer-grade-assessment
169,ALASKA2 Image Steganalysis,https://compsearch.dev/search?url=alaska2-image-steganalysis
170,M5 Forecasting - Uncertainty,https://compsearch.dev/search?url=m5-forecasting-uncertainty
171,M5 Forecasting - Accuracy,https://compsearch.dev/search?url=m5-forecasting-accuracy
172,TReNDS Neuroimaging,https://compsearch.dev/search?url=trends-assessment-prediction
173,Jigsaw Multilingual Toxic Comment Classification,https://compsearch.dev/search?url=jigsaw-multilingual-toxic-comment-classification
174,Tweet Sentiment Extraction,https://compsearch.dev/search?url=tweet-sentiment-extraction
175,Abstraction and Reasoning Challenge,https://compsearch.dev/search?url=abstraction-and-reasoning-challenge
176,University of Liverpool - Ion Switching,https://compsearch.dev/search?url=liverpool-ion-switching
177,Deepfake Detection Challenge,https://compsearch.dev/search?url=deepfake-detection-challenge
178,Bengali.AI Handwritten Grapheme Classification,https://compsearch.dev/search?url=bengaliai-cv19
179,Google QUEST Q&A Labeling,https://compsearch.dev/search?url=google-quest-challenge
180,TensorFlow 2.0 Question Answering,https://compsearch.dev/search?url=tensorflow2-question-answering
181,2019 Data Science Bowl,https://compsearch.dev/search?url=data-science-bowl-2019
182,Peking University/Baidu - Autonomous Driving,https://compsearch.dev/search?url=pku-autonomous-driving
183,Santa's Workshop Tour 2019,https://compsearch.dev/search?url=santa-workshop-tour-2019
184,NFL Big Data Bowl,https://compsearch.dev/search?url=nfl-big-data-bowl-2020
185,ASHRAE - Great Energy Predictor III,https://compsearch.dev/search?url=ashrae-energy-prediction
186,Understanding Clouds from Satellite Images,https://compsearch.dev/search?url=understanding_cloud_organization
187,RSNA Intracranial Hemorrhage Detection,https://compsearch.dev/search?url=rsna-intracranial-hemorrhage-detection
188,Lyft 3D Object Detection for Autonomous Vehicles,https://compsearch.dev/search?url=3d-object-detection-for-autonomous-vehicles
189,Severstal: Steel Defect Detection,https://compsearch.dev/search?url=severstal-steel-defect-detection
190,The 3rd YouTube-8M Video Understanding Challenge,https://compsearch.dev/search?url=youtube8m-2019
191,IEEE-CIS Fraud Detection,https://compsearch.dev/search?url=ieee-fraud-detection
192,Open Images 2019 - Instance Segmentation,https://compsearch.dev/search?url=open-images-2019-instance-segmentation
193,Open Images 2019 - Object Detection,https://compsearch.dev/search?url=open-images-2019-object-detection
194,Open Images 2019 - Visual Relationship,https://compsearch.dev/search?url=open-images-2019-visual-relationship
195,Recursion Cellular Image Classification,https://compsearch.dev/search?url=recursion-cellular-image-classification
196,APTOS 2019 Blindness Detection,https://compsearch.dev/search?url=aptos2019-blindness-detection
197,SIIM-ACR Pneumothorax Segmentation,https://compsearch.dev/search?url=siim-acr-pneumothorax-segmentation
198,Predicting Molecular Properties,https://compsearch.dev/search?url=champs-scalar-coupling
199,Generative Dog Images,https://compsearch.dev/search?url=generative-dog-images
200,Jigsaw Unintended Bias in Toxicity Classification,https://compsearch.dev/search?url=jigsaw-unintended-bias-in-toxicity-classification
201,Instant Gratification,https://compsearch.dev/search?url=instant-gratification
202,Freesound Audio Tagging 2019,https://compsearch.dev/search?url=freesound-audio-tagging-2019
203,iMet Collection 2019 - FGVC6,https://compsearch.dev/search?url=imet-2019-fgvc6
204,iMaterialist (Fashion) 2019 at FGVC6,https://compsearch.dev/search?url=imaterialist-fashion-2019-FGVC6
205,LANL Earthquake Prediction,https://compsearch.dev/search?url=LANL-Earthquake-Prediction
206,Google Landmark Retrieval 2019,https://compsearch.dev/search?url=landmark-retrieval-2019
207,Google Landmark Recognition 2019,https://compsearch.dev/search?url=landmark-recognition-2019
208,Gendered Pronoun Resolution,https://compsearch.dev/search?url=gendered-pronoun-resolution
209,PetFinder.my Adoption Prediction,https://compsearch.dev/search?url=petfinder-adoption-prediction
210,Santander Customer Transaction Prediction,https://compsearch.dev/search?url=santander-customer-transaction-prediction
211,Google Cloud & NCAA® ML Competition 2019-Men's,https://compsearch.dev/search?url=mens-machine-learning-competition-2019
212,Google Cloud & NCAA® ML Competition 2019-Women's,https://compsearch.dev/search?url=womens-machine-learning-competition-2019
213,VSB Power Line Fault Detection,https://compsearch.dev/search?url=vsb-power-line-fault-detection
214,Microsoft Malware Prediction,https://compsearch.dev/search?url=microsoft-malware-prediction
215,Humpback Whale Identification,https://compsearch.dev/search?url=humpback-whale-identification
216,Elo Merchant Category Recommendation,https://compsearch.dev/search?url=elo-merchant-category-recommendation
217,Google Analytics Customer Revenue Prediction,https://compsearch.dev/search?url=ga-customer-revenue-prediction
218,Quora Insincere Questions Classification,https://compsearch.dev/search?url=quora-insincere-questions-classification
219,Human Protein Atlas Image Classification,https://compsearch.dev/search?url=human-protein-atlas-image-classification
220,Traveling Santa 2018 - Prime Paths,https://compsearch.dev/search?url=traveling-santa-2018-prime-paths
221,PLAsTiCC Astronomical Classification,https://compsearch.dev/search?url=PLAsTiCC-2018
222,"Quick, Draw! Doodle Recognition Challenge",https://compsearch.dev/search?url=quickdraw-doodle-recognition
223,Airbus Ship Detection Challenge,https://compsearch.dev/search?url=airbus-ship-detection
224,Inclusive Images Challenge,https://compsearch.dev/search?url=inclusive-images-challenge
225,RSNA Pneumonia Detection Challenge,https://compsearch.dev/search?url=rsna-pneumonia-detection-challenge
226,TGS Salt Identification Challenge,https://compsearch.dev/search?url=tgs-salt-identification-challenge
227,Google AI Open Images - Object Detection Track,https://compsearch.dev/search?url=google-ai-open-images-object-detection-track
228,Google AI Open Images - Visual Relationship Track,https://compsearch.dev/search?url=google-ai-open-images-visual-relationship-track
229,Home Credit Default Risk,https://compsearch.dev/search?url=home-credit-default-risk
230,Santander Value Prediction Challenge,https://compsearch.dev/search?url=santander-value-prediction-challenge
231,TrackML Particle Tracking Challenge,https://compsearch.dev/search?url=trackml-particle-identification
232,The 2nd YouTube-8M Video Understanding Challenge,https://compsearch.dev/search?url=youtube8m-2018
233,Avito Demand Prediction Challenge,https://compsearch.dev/search?url=avito-demand-prediction
234,Google Landmark Retrieval Challenge,https://compsearch.dev/search?url=landmark-retrieval-challenge
235,Google Landmark Recognition Challenge,https://compsearch.dev/search?url=landmark-recognition-challenge
236,TalkingData AdTracking Fraud Detection Challenge,https://compsearch.dev/search?url=talkingdata-adtracking-fraud-detection
237,2018 Data Science Bowl,https://compsearch.dev/search?url=data-science-bowl-2018
238,Toxic Comment Classification Challenge,https://compsearch.dev/search?url=jigsaw-toxic-comment-classification-challenge
239,Mercari Price Suggestion Challenge,https://compsearch.dev/search?url=mercari-price-suggestion-challenge
240,IEEE's Signal Processing Society - Camera Model Identification,https://compsearch.dev/search?url=sp-society-camera-model-identification
241,Recruit Restaurant Visitor Forecasting,https://compsearch.dev/search?url=recruit-restaurant-visitor-forecasting
242,Statoil/C-CORE Iceberg Classifier Challenge,https://compsearch.dev/search?url=statoil-iceberg-classifier-challenge
243,TensorFlow Speech Recognition Challenge,https://compsearch.dev/search?url=tensorflow-speech-recognition-challenge
244,Corporación Favorita Grocery Sales Forecasting,https://compsearch.dev/search?url=favorita-grocery-sales-forecasting
245,Santa Gift Matching Challenge,https://compsearch.dev/search?url=santa-gift-matching
246,Zillow Prize: Zillow’s Home Value Prediction (Zestimate),https://compsearch.dev/search?url=zillow-prize-1
247,Passenger Screening Algorithm Challenge,https://compsearch.dev/search?url=passenger-screening-algorithm-challenge
248,Cdiscount’s Image Classification Challenge,https://compsearch.dev/search?url=cdiscount-image-classification-challenge
249,Porto Seguro’s Safe Driver Prediction,https://compsearch.dev/search?url=porto-seguro-safe-driver-prediction
250,Text Normalization Challenge - Russian Language,https://compsearch.dev/search?url=text-normalization-challenge-russian-language
251,Text Normalization Challenge - English Language,https://compsearch.dev/search?url=text-normalization-challenge-english-language
252,Web Traffic Time Series Forecasting,https://compsearch.dev/search?url=web-traffic-time-series-forecasting
253,NIPS 2017: Non-targeted Adversarial Attack,https://compsearch.dev/search?url=nips-2017-non-targeted-adversarial-attack
254,NIPS 2017: Targeted Adversarial Attack,https://compsearch.dev/search?url=nips-2017-targeted-adversarial-attack
255,NIPS 2017: Defense Against Adversarial Attack,https://compsearch.dev/search?url=nips-2017-defense-against-adversarial-attack
256,Carvana Image Masking Challenge,https://compsearch.dev/search?url=carvana-image-masking-challenge
257,Market Basket Analysis,https://compsearch.dev/search?url=basket-analysis
258,Planet: Understanding the Amazon from Space,https://compsearch.dev/search?url=planet-understanding-the-amazon-from-space
259,Mercedes-Benz Greener Manufacturing,https://compsearch.dev/search?url=mercedes-benz-greener-manufacturing
260,Sberbank Russian Housing Market,https://compsearch.dev/search?url=sberbank-russian-housing-market
261,NOAA Fisheries Steller Sea Lion Population Count,https://compsearch.dev/search?url=noaa-fisheries-steller-sea-lion-population-count
262,Intel & MobileODT Cervical Cancer Screening,https://compsearch.dev/search?url=intel-mobileodt-cervical-cancer-screening
263,Quora Question Pairs,https://compsearch.dev/search?url=quora-question-pairs
264,Google Cloud & YouTube-8M Video Understanding Challenge,https://compsearch.dev/search?url=youtube8m
265,The Nature Conservancy Fisheries Monitoring,https://compsearch.dev/search?url=the-nature-conservancy-fisheries-monitoring
266,Data Science Bowl 2017,https://compsearch.dev/search?url=data-science-bowl-2017
267,Dstl Satellite Imagery Feature Detection,https://compsearch.dev/search?url=dstl-satellite-imagery-feature-detection
268,Two Sigma Financial Modeling Challenge,https://compsearch.dev/search?url=two-sigma-financial-modeling
269,Outbrain Click Prediction,https://compsearch.dev/search?url=outbrain-click-prediction
270,Santander Product Recommendation,https://compsearch.dev/search?url=santander-product-recommendation
271,Melbourne University AES/MathWorks/NIH Seizure Prediction,https://compsearch.dev/search?url=melbourne-university-seizure-prediction
272,Bosch Production Line Performance,https://compsearch.dev/search?url=bosch-production-line-performance
273,Predicting Red Hat Business Value,https://compsearch.dev/search?url=predicting-red-hat-business-value
274,TalkingData Mobile User Demographics,https://compsearch.dev/search?url=talkingdata-mobile-user-demographics
275,Grupo Bimbo Inventory Demand,https://compsearch.dev/search?url=grupo-bimbo-inventory-demand
276,State Farm Distracted Driver Detection,https://compsearch.dev/search?url=state-farm-distracted-driver-detection
277,Avito Duplicate Ads Detection,https://compsearch.dev/search?url=avito-duplicate-ads-detection
278,Draper Satellite Image Chronology,https://compsearch.dev/search?url=draper-satellite-image-chronology
279,Expedia Hotel Recommendations,https://compsearch.dev/search?url=expedia-hotel-recommendations
280,Santander Customer Satisfaction,https://compsearch.dev/search?url=santander-customer-satisfaction
281,Home Depot Product Search Relevance,https://compsearch.dev/search?url=home-depot-product-search-relevance
282,BNP Paribas Cardif Claims Management,https://compsearch.dev/search?url=bnp-paribas-cardif-claims-management
283,Second Annual Data Science Bowl,https://compsearch.dev/search?url=second-annual-data-science-bowl
284,Prudential Life Insurance Assessment,https://compsearch.dev/search?url=prudential-life-insurance-assessment
285,Santa's Stolen Sleigh,https://compsearch.dev/search?url=santas-stolen-sleigh
286,Right Whale Recognition,https://compsearch.dev/search?url=noaa-right-whale-recognition
287,Rossmann Store Sales,https://compsearch.dev/search?url=rossmann-store-sales
288,Springleaf Marketing Response,https://compsearch.dev/search?url=springleaf-marketing-response
289,Flavours of Physics: Finding τ → μμμ,https://compsearch.dev/search?url=flavours-of-physics
290,Grasp-and-Lift EEG Detection,https://compsearch.dev/search?url=grasp-and-lift-eeg-detection
291,Liberty Mutual Group: Property Inspection Prediction,https://compsearch.dev/search?url=liberty-mutual-group-property-inspection-prediction
292,ICDM 2015: Drawbridge Cross-Device Connections,https://compsearch.dev/search?url=icdm-2015-drawbridge-cross-device-connections
293,Avito Context Ad Clicks,https://compsearch.dev/search?url=avito-context-ad-clicks
294,Diabetic Retinopathy Detection,https://compsearch.dev/search?url=diabetic-retinopathy-detection
295,Crowdflower Search Results Relevance,https://compsearch.dev/search?url=crowdflower-search-relevance
